Name,Owner,Category,Description,Tags,Quantization,Max Context Tokens,Pricing Type,Pricing,Deprecated,Replaced By
Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,text-generation,"Over the past few months, we have observed increasingly clear trends toward scaling both total parameters and context lengths in the pursuit of more powerful and agentic artificial intelligence (AI). We are excited to share our latest advancements in addressing these demands, centered on improving scaling efficiency through innovative model architecture. We call this next-generation foundation models Qwen3-Next.",openai; cc-native; tools; json; structured-output,fp8,262144,tokens,$0.0900 in/1M tokens; $1.1000 out/1M tokens,,
Qwen/Qwen3-Reranker-0.6B,Qwen,reranker,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B)",,,32768,input_tokens,$0.0100/1M tokens,,
Qwen/Qwen3-Reranker-4B,Qwen,reranker,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B)",,,32768,input_tokens,$0.0250/1M tokens,,
Qwen/Qwen3-Reranker-8B,Qwen,reranker,"The Qwen3 Embedding model series is the latest proprietary model of the Qwen family, specifically designed for text embedding and ranking tasks. Building upon the dense foundational models of the Qwen3 series, it provides a comprehensive range of text embeddings and reranking models in various sizes (0.6B, 4B, and 8B)",,,32768,input_tokens,$0.0500/1M tokens,,
Qwen/Qwen3-VL-235B-A22B-Instruct,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; tools; ocr; structured-output,fp8,262144,tokens,$0.1100 cached/1M tokens; $0.2000 in/1M tokens; $0.8800 out/1M tokens,,
Qwen/Qwen3-VL-235B-A22B-Thinking,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; reasoning; tools,fp8,262144,tokens,$0.4500 in/1M tokens; $3.4900 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen/Qwen3-VL-30B-A3B-Instruct,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; tools; ocr,fp8,262144,tokens,$0.1500 in/1M tokens; $0.6000 out/1M tokens,,
Qwen/Qwen3-VL-30B-A3B-Thinking,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; reasoning; tools,fp8,262144,tokens,$0.2900 in/1M tokens; $0.9900 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen/Qwen3-VL-4B-Instruct,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; tools,fp8,262144,tokens,$0.1000 in/1M tokens; $0.6000 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen/Qwen3-VL-4B-Thinking,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; reasoning; tools,fp8,262144,tokens,$0.1000 in/1M tokens; $1.0000 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen/Qwen3-VL-8B-Instruct,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; tools,fp8,262144,tokens,$0.1800 in/1M tokens; $0.6900 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen/Qwen3-VL-8B-Thinking,Qwen,text-generation,"Meet Qwen3-VL — the most powerful vision-language model in the Qwen series to date.  This generation delivers comprehensive upgrades across the board: superior text understanding & generation, deeper visual perception & reasoning, extended context length, enhanced spatial and video dynamics comprehension, and stronger agent interaction capabilities.",openai; cc-native; multimodal; json; structured-output; reasoning; tools,fp8,262144,tokens,$0.1800 in/1M tokens; $2.0900 out/1M tokens,Yes,Qwen/Qwen3-VL-235B-A22B-Instruct
ResembleAI/chatterbox,ResembleAI,text-to-speech,"New model named Chatterbox by Resemble AI's first production-grade open source TTS model. Licensed under MIT, Chatterbox has been benchmarked against leading closed-source systems like ElevenLabs, and is consistently preferred in side-by-side evaluations.  Whether you're working on memes, videos, games, or AI agents, Chatterbox brings your content to life. It's also the first open source TTS model to support emotion exaggeration control, a powerful feature that makes your voices stand out.",voice,,,input_character_length,$NaN/1M characters,Yes,
ResembleAI/chatterbox-multilingual,ResembleAI,text-to-speech,"09/04 🔥 Introducing Chatterbox Multilingual in 23 Languages!  We're excited to introduce Chatterbox and Chatterbox Multilingual, Resemble AI's production-grade open source TTS models. Chatterbox Multilingual supports Arabic, Danish, German, Greek, English, Spanish, Finnish, French, Hebrew, Hindi, Italian, Japanese, Korean, Malay, Dutch, Norwegian, Polish, Portuguese, Russian, Swedish, Swahili, Turkish, Chinese out of the box. Licensed under MIT, Chatterbox has been benchmarked against leading closed-source systems like ElevenLabs, and is consistently preferred in side-by-side evaluations.",voice,,,input_character_length,$NaN/1M characters,,
Sao10K/L3-70B-Euryale-v2.1,Sao10K,text-generation,Euryale 70B v2.1 is a model focused on creative roleplay from Sao10k,openai,fp8,8192,tokens,$0.7000 in/1M tokens; $0.8000 out/1M tokens,Yes,Sao10K/L3.1-70B-Euryale-v2.2
Sao10K/L3-8B-Lunaris-v1,Sao10K,text-generation,A generalist / roleplaying model merge based on Llama 3. Sao10K has carefully selected the values based on extensive personal experimentation and has fine-tuned them to create a customized recipe.,openai,bfloat16,8192,tokens,$0.0300 in/1M tokens; $0.0600 out/1M tokens,Yes,Sao10K/L3.1-70B-Euryale-v2.2
Sao10K/L3-8B-Lunaris-v1-Turbo,Sao10K,text-generation,,openai; json; structured-output,fp8,8192,tokens,$0.0400 in/1M tokens; $0.0500 out/1M tokens,,
Sao10K/L3.1-70B-Euryale-v2.2,Sao10K,text-generation,Euryale 3.1 - 70B v2.2 is a model focused on creative roleplay from Sao10k,openai; json; structured-output,fp8,131072,tokens,$0.8500 in/1M tokens; $0.8500 out/1M tokens,,
Sao10K/L3.3-70B-Euryale-v2.3,Sao10K,text-generation,L3.3-70B-Euryale-v2.3 is a model focused on creative roleplay from Sao10k,openai; json; structured-output,fp8,131072,tokens,$0.8500 in/1M tokens; $0.8500 out/1M tokens,,
Wan-AI/Wan2.1-T2V-1.3B,Wan-AI,text-to-video,"The Wan2.1 1.3B model is a lightweight, efficient text-to-video generator. Despite its compact size, it delivers impressive performance across benchmarks and generates high-quality 480P videos.",,,,image_units,$0.100000/image unit,,
Wan-AI/Wan2.1-T2V-14B,Wan-AI,text-to-video,"The Wan2.1 14B model is a high-capacity, state-of-the-art video foundation model capable of producing both 480P and 720P videos. It excels at capturing complex prompts and generating visually rich, detailed scenes, making it ideal for high-end creative tasks.",,,,image_units,$0.400000/image unit,,
Wan-AI/Wan2.6-I2V,Wan-AI,text-to-video,"Turn any image into a video. Intelligent shot scheduling supports multi-shot storytelling, generating multi-shot narrative videos with consistent subjects, scenes, and atmosphere",,,,output_length,$0.1500/second,,
Wan-AI/Wan2.6-Image-Edit,Wan-AI,text-to-image,"An all-round image generation model that supports joint text–image reasoning, multi-image creative fusion, commercial-grade consistency, aesthetic style transfer, and precise control of framing and lighting, significantly enhancing consistency, controllability, and expressiveness in image generation.",,,,image_units,$0.030000/image unit,,
Wan-AI/Wan2.6-T2I,Wan-AI,text-to-image,"Wan2.6 text to image, Upgraded visual quality, aesthetics, and instruction-following deliver precise style control, realistic portraits, long-text understanding, and broad historical/cultural IP coverage, enabling high-quality, highly expressive visual generation.",,,,image_units,$0.030000/image unit,,
Wan-AI/Wan2.6-T2V,Wan-AI,text-to-video,"Turn any prompt into a smooth video. Intelligent shot scheduling supports multi-shot storytelling, generating multi-shot narrative videos with consistent subjects, scenes, and atmosphere",,,,output_length,$0.1500/second,,
XpucT/Deliberate,XpucT,text-to-image,"The Deliberate Model allows for the creation of anything desired, with the potential for better results as the user's knowledge and detail in the prompt increase. The model is ideal for meticulous anatomy artists, creative prompt writers, art designers, and those seeking explicit content.",,,,time,$NaN/second,Yes,stabilityai/sdxl-turbo
Zyphra/Zonos-v0.1-hybrid,Zyphra,text-to-speech,"Zonos-v0.1 is a leading open-weight text-to-speech model trained on more than 200k hours of varied multilingual speech, delivering expressiveness and quality on par with—or even surpassing—top TTS providers.  Our model enables highly natural speech generation from text prompts when given a speaker embedding or audio prefix, and can accurately perform speech cloning when given a reference clip spanning just a few seconds. The conditioning setup also allows for fine control over speaking rate, pitch variation, audio quality, and emotions such as happiness, fear, sadness, and anger. The model outputs speech natively at 44kHz.",voice,,,input_character_length,$NaN/1M characters,,
Zyphra/Zonos-v0.1-transformer,Zyphra,text-to-speech,"Zonos-v0.1 is a leading open-weight text-to-speech model trained on more than 200k hours of varied multilingual speech, delivering expressiveness and quality on par with—or even surpassing—top TTS providers.  Our model enables highly natural speech generation from text prompts when given a speaker embedding or audio prefix, and can accurately perform speech cloning when given a reference clip spanning just a few seconds. The conditioning setup also allows for fine control over speaking rate, pitch variation, audio quality, and emotions such as happiness, fear, sadness, and anger. The model outputs speech natively at 44kHz.",voice,,,input_character_length,$NaN/1M characters,,
allenai/Olmo-3.1-32B-Instruct,allenai,text-generation,"Olmo is a series of Open language models, developed by Allen Institute for AI (Ai2), designed to enable the science of language models. ",openai; cc-native; tools; json; structured-output,,65536,tokens,$0.2000 in/1M tokens; $0.6000 out/1M tokens,,
allenai/olmOCR-2,allenai,text-generation,"olmOCR is a specialized AI tool that converts PDF documents into clean, structured text while preserving important formatting and layout information. What makes olmOCR particularly valuable for developers is its ability to handle challenging PDFs that traditional OCR tools struggle with—including complex layouts, poor-quality scans, handwritten text, and documents with mixed content types. Built on a fine-tuned 7B vision-language model, olmOCR provides enterprise-grade PDF processing at a fraction of the cost of proprietary solutions.",openai; multimodal; cc-native; json; structured-output,fp8,16384,tokens,$0.1400 in/1M tokens; $0.8000 out/1M tokens,Yes,allenai/olmOCR-2-7B-1025
allenai/olmOCR-2-7B-1025,allenai,text-generation,"olmOCR is a specialized AI tool that converts PDF documents into clean, structured text while preserving important formatting and layout information. What makes olmOCR particularly valuable for developers is its ability to handle challenging PDFs that traditional OCR tools struggle with—including complex layouts, poor-quality scans, handwritten text, and documents with mixed content types. Built on a fine-tuned 7B vision-language model, olmOCR provides enterprise-grade PDF processing at a fraction of the cost of proprietary solutions.",openai; multimodal; cc-native; json; structured-output; ocr,fp8,16384,tokens,$0.0900 in/1M tokens; $0.1900 out/1M tokens,,
allenai/olmOCR-7B-0725-FP8,allenai,text-generation,"olmOCR is a specialized AI tool that converts PDF documents into clean, structured text while preserving important formatting and layout information. What makes olmOCR particularly valuable for developers is its ability to handle challenging PDFs that traditional OCR tools struggle with—including complex layouts, poor-quality scans, handwritten text, and documents with mixed content types. Built on a fine-tuned 7B vision-language model, olmOCR provides enterprise-grade PDF processing at a fraction of the cost of proprietary solutions.",openai; multimodal; cc-native,,16384,tokens,$0.2700 in/1M tokens; $1.5000 out/1M tokens,Yes,allenai/olmOCR-2-7B-1025
allenai/olmOCR-7B-0825,allenai,text-generation,"olmOCR is a specialized AI tool that converts PDF documents into clean, structured text while preserving important formatting and layout information. What makes olmOCR particularly valuable for developers is its ability to handle challenging PDFs that traditional OCR tools struggle with—including complex layouts, poor-quality scans, handwritten text, and documents with mixed content types. Built on a fine-tuned 7B vision-language model, olmOCR provides enterprise-grade PDF processing at a fraction of the cost of proprietary solutions.",openai; multimodal; cc-native; json; structured-output,fp8,16384,tokens,$0.1400 in/1M tokens; $0.8000 out/1M tokens,Yes,allenai/olmOCR-2-7B-1025
allenai/olmOCR-7B-1025,allenai,text-generation,"olmOCR is a specialized AI tool that converts PDF documents into clean, structured text while preserving important formatting and layout information. What makes olmOCR particularly valuable for developers is its ability to handle challenging PDFs that traditional OCR tools struggle with—including complex layouts, poor-quality scans, handwritten text, and documents with mixed content types. Built on a fine-tuned 7B vision-language model, olmOCR provides enterprise-grade PDF processing at a fraction of the cost of proprietary solutions.",openai; multimodal; cc-native; json; structured-output,fp8,16384,tokens,$0.1400 in/1M tokens; $0.8000 out/1M tokens,Yes,allenai/olmOCR-2-7B-1025
anthropic/claude-3-7-sonnet-latest,anthropic,text-generation,,openai; no-free-anon; multimodal; tools; cc-native; json; structured-output; ocr,,200000,tokens,$0.3300 cached/1M tokens; $3.3000 in/1M tokens; $16.5000 out/1M tokens,,
anthropic/claude-4-opus,anthropic,text-generation,"Anthropic’s most powerful model yet and the state-of-the-art coding model. It delivers sustained performance on long-running tasks that require focused effort and thousands of steps, significantly expanding what AI agents can solve. Claude Opus 4 is ideal for powering frontier agent products and features.",openai; tools; multimodal; no-free-anon; cc-native; json; structured-output; ocr,,200000,tokens,$16.5000 in/1M tokens; $82.5000 out/1M tokens,,
anthropic/claude-4-sonnet,anthropic,text-generation,"Anthropic's mid-size model with superior intelligence for high-volume uses in coding, in-depth research, agents, & more.",openai; tools; multimodal; no-free-anon; cc-native; json; structured-output; ocr,,200000,tokens,$3.3000 in/1M tokens; $16.5000 out/1M tokens,,
bigcode/starcoder2-15b-instruct-v0.1,bigcode,text-generation,"We introduce StarCoder2-15B-Instruct-v0.1, the very first entirely self-aligned code Large Language Model (LLM) trained with a fully permissive and transparent pipeline. Our open-source pipeline uses StarCoder2-15B to generate thousands of instruction-response pairs, which are then used to fine-tune StarCoder-15B itself without any human annotations or distilled data from huge and proprietary LLMs.",openai,fp16,,tokens,$0.1500 in/1M tokens; $0.1500 out/1M tokens,Yes,meta-llama/Meta-Llama-3.1-70B-Instruct
black-forest-labs/FLUX-1-Redux-dev,black-forest-labs,text-to-image,"FLUX.1 Redux [dev] is an image variation generation adapter for all FLUX.1 base models. It enables users to refine images with slight variations and supports text-based restyling via API. Integrated with FLUX1.1 [pro] Ultra, it allows for high-quality 4-megapixel outputs. The model can be used with Diffusers in Python for efficient image generation. While powerful, it has ethical and factual limitations and is governed by a non-commercial license.",,,,image_units,$0.012000/image unit,,
black-forest-labs/FLUX-1-dev,black-forest-labs,text-to-image,"FLUX.1-dev is a state-of-the-art 12 billion parameter rectified flow transformer developed by Black Forest Labs. This model excels in text-to-image generation, providing highly accurate and detailed outputs. It is particularly well-regarded for its ability to follow complex prompts and generate anatomically accurate images, especially with challenging details like hands and faces.",no-free-anon; lora-base,,,image_units,$0.009000/image unit,,
black-forest-labs/FLUX-1-schnell,black-forest-labs,text-to-image,"FLUX.1 [schnell] is a 12 billion parameter rectified flow transformer capable of generating images from text descriptions. This model offers cutting-edge output quality and competitive prompt following, matching the performance of closed source alternatives. Trained using latent adversarial diffusion distillation, FLUX.1 [schnell] can generate high-quality images in only 1 to 4 steps. ",no-free-anon; lora-base,,,image_units,$0.000500/image unit,,
black-forest-labs/FLUX-1.1-pro,black-forest-labs,text-to-image,"Black Forest Labs' latest state-of-the art proprietary model sporting top of the line prompt following, visual quality, details and output diversity.",no-free-anon,,,image_units,$0.040000/image unit,,
black-forest-labs/FLUX-2-dev,black-forest-labs,text-to-image,"Brand-new Flux2 Dev introduces a faster, more modular architecture for next-generation image generation pipelines. It delivers improved performance, cleaner control APIs, and a significantly more flexible development workflow for custom inference setups.",,,,image_units,$0.010000/image unit,,
black-forest-labs/FLUX-2-max,black-forest-labs,text-to-image,"The new top-tier image model from Black Forest Labs, significantly pushing image quality and editing consistency",no-free-anon,,,image_units,$0.100000/image unit,,
black-forest-labs/FLUX-2-pro,black-forest-labs,text-to-image,"Multi-reference visual intelligence with unprecedented detail, color precision, and spatial reasoning.  The most advanced image generation and editing model. Generate photorealistic images with precise control.",no-free-anon,,,image_units,$0.015000/image unit,,
black-forest-labs/FLUX-pro,black-forest-labs,text-to-image,Black Forest Labs' first flagship model based on Flux latent rectified flow transformers,no-free-anon,,,image_units,$0.050000/image unit,,
black-forest-labs/FLUX.1-Kontext-dev,black-forest-labs,text-to-image,"FLUX.1 Kontext [dev] is a 12-billion-parameter image editing model that transforms visuals based on natural language instructions. It allows highly consistent, multi-step edits and is released with open weights under a non-commercial license to empower artists and researchers.",,,,image_units,$0.010000/image unit,,
canopylabs/orpheus-3b-0.1-ft,canopylabs,text-to-speech,"Orpheus TTS is a state-of-the-art, Llama-based Speech-LLM designed for high-quality, empathetic text-to-speech generation. This model has been finetuned to deliver human-level speech synthesis, achieving exceptional clarity, expressiveness, and real-time streaming performances.",,,,input_character_length,$NaN/1M characters,,
cognitivecomputations/dolphin-2.6-mixtral-8x7b,cognitivecomputations,text-generation,"The Dolphin 2.6 Mixtral 8x7b model is a finetuned version of the Mixtral-8x7b model, trained on a variety of data including coding data, for 3 days on 4 A100 GPUs. It is uncensored and requires trust_remote_code. The model is very obedient and good at coding, but not DPO tuned. The dataset has been filtered for alignment and bias. The model is compliant with user requests and can be used for various purposes such as generating code or engaging in general chat.",openai; json,bfloat16,32768,tokens,$0.2400 in/1M tokens; $0.2400 out/1M tokens,Yes,Qwen/Qwen2.5-72B-Instruct
cognitivecomputations/dolphin-2.9.1-llama-3-70b,cognitivecomputations,text-generation,"Dolphin 2.9.1, a fine-tuned Llama-3-70b model. The new model, trained on filtered data, is more compliant but uncensored. It demonstrates improvements in instruction, conversation, coding, and function calling abilities.",openai,bfloat16,8192,tokens,$0.3500 in/1M tokens; $0.4000 out/1M tokens,Yes,Qwen/Qwen2.5-72B-Instruct
deepinfra/airoboros-70b,deepinfra,text-generation,Latest version of the Airoboros model fine-tunned version of llama-2-70b using the Airoboros dataset. This model is currently running jondurbin/airoboros-l2-70b-2.2.1 ,openai; json,fp16,4096,tokens,$0.7000 in/1M tokens; $0.9000 out/1M tokens,Yes,meta-llama/Llama-3.3-70B-Instruct-Turbo
deepseek-ai/DeepSeek-OCR,deepseek-ai,text-generation,"DeepSeek-OCR as an initial investigation into the feasibility of compressing long contexts via optical 2D mapping. DeepSeek-OCR consists of two components: DeepEncoder and DeepSeek3B-MoE-A570M as the decoder. Specifically, DeepEncoder serves as the core engine, designed to maintain low activations under high-resolution input while achieving high compression ratios to ensure an optimal and manageable number of vision tokens. Experiments show that when the number of text tokens is within 10 times that of vision tokens (i.e., a compression ratio < 10x), the model can achieve decoding (OCR) precision of 97%. Even at a compression ratio of 20x, the OCR accuracy still remains at about 60%. This shows considerable promise for research areas such as historical long-context compression and memory forgetting mechanisms in LLMs.",openai; multimodal; cc-native; ocr,bfloat16,8192,tokens,$0.0300 in/1M tokens; $0.1000 out/1M tokens,,
deepseek-ai/DeepSeek-Prover-V2-671B,deepseek-ai,text-generation,"DeepSeek-Prover-V2, an open-source large language model designed for formal theorem proving in Lean 4, with initialization data collected through a recursive theorem proving pipeline powered by DeepSeek-V3. The cold-start training procedure begins by prompting DeepSeek-V3 to decompose complex problems into a series of subgoals. The proofs of resolved subgoals are synthesized into a chain-of-thought process, combined with DeepSeek-V3's step-by-step reasoning, to create an initial cold start for reinforcement learning. ",openai,fp8,163840,tokens,$0.5000 in/1M tokens; $2.1800 out/1M tokens,Yes,deepseek-ai/DeepSeek-V3-0324
deepseek-ai/DeepSeek-R1,deepseek-ai,text-generation,"We introduce DeepSeek-R1, which incorporates cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1 across math, code, and reasoning tasks. ",openai; tools; b200; json,fp4,163840,tokens,$0.7000 in/1M tokens; $2.4000 out/1M tokens,Yes,deepseek-ai/DeepSeek-R1-0528
deepseek-ai/DeepSeek-R1-0528,deepseek-ai,text-generation,"The DeepSeek R1 model has undergone a minor version upgrade, with the current version being DeepSeek-R1-0528.",openai; tools; b200; reasoning; json; structured-output,fp4,163840,tokens,$0.3500 cached/1M tokens; $0.5000 in/1M tokens; $2.1500 out/1M tokens,,
deepseek-ai/DeepSeek-R1-0528-Turbo,deepseek-ai,text-generation,The DeepSeek R1 0528 turbo model is a state of the art reasoning model that can generate very quick responses,openai; tools; b200; reasoning; json,fp4,32768,tokens,$1.0000 in/1M tokens; $3.0000 out/1M tokens,,
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,deepseek-ai,text-generation,"DeepSeek-R1-Distill-Llama-70B is a highly efficient language model that leverages knowledge distillation to achieve state-of-the-art performance. This model distills the reasoning patterns of larger models into a smaller, more agile architecture, resulting in exceptional results on benchmarks like AIME 2024, MATH-500, and LiveCodeBench. With 70 billion parameters, DeepSeek-R1-Distill-Llama-70B offers a unique balance of accuracy and efficiency, making it an ideal choice for a wide range of natural language processing tasks. ",openai; reasoning; json,fp8,131072,tokens,$0.7000 in/1M tokens; $0.8000 out/1M tokens,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai,text-generation,"DeepSeek R1 Distill Qwen 32B is a distilled large language model based on Qwen 2.5 32B, using outputs from DeepSeek R1. It outperforms OpenAI's o1-mini across various benchmarks, achieving new state-of-the-art results for dense models.  Other benchmark results include:  AIME 2024: 72.6 | MATH-500: 94.3 | CodeForces Rating: 1691.",openai; json,fp8,131072,tokens,$0.2700 in/1M tokens; $0.2700 out/1M tokens,Yes,deepseek-ai/DeepSeek-R1-Distill-Llama-70B
deepseek-ai/DeepSeek-R1-Turbo,deepseek-ai,text-generation,"We introduce DeepSeek-R1, which incorporates cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1 across math, code, and reasoning tasks. ",openai; tools; b200; json,fp4,40960,tokens,$1.0000 in/1M tokens; $3.0000 out/1M tokens,Yes,deepseek-ai/DeepSeek-R1-0528
deepseek-ai/DeepSeek-V3,deepseek-ai,text-generation,"DeepSeek-V3, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token. To achieve efficient inference and cost-effective training, DeepSeek-V3 adopts Multi-head Latent Attention (MLA) and DeepSeekMoE architectures, which were thoroughly validated in DeepSeek-V2. ",openai; tools; json; b200; structured-output,fp4,163840,tokens,$0.3200 in/1M tokens; $0.8900 out/1M tokens,,
deepseek-ai/DeepSeek-V3-0324,deepseek-ai,text-generation,"DeepSeek-V3-0324, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token, an improved iteration over DeepSeek-V3.",openai; tools; json; b200; structured-output,fp4,163840,tokens,$0.1350 cached/1M tokens; $0.2000 in/1M tokens; $0.7700 out/1M tokens,,
deepseek-ai/DeepSeek-V3-0324-Turbo,deepseek-ai,text-generation,,openai; tools; b200,fp4,32768,tokens,$1.0000 in/1M tokens; $3.0000 out/1M tokens,Yes,deepseek-ai/DeepSeek-V3-0324
deepseek-ai/DeepSeek-V3.1,deepseek-ai,text-generation,"DeepSeek-V3.1 is post-trained on the top of DeepSeek-V3.1-Base, which is built upon the original V3 base checkpoint through a two-phase long context extension approach, following the methodology outlined in the original DeepSeek-V3 report. We have expanded our dataset by collecting additional long documents and substantially extending both training phases. The 32K extension phase has been increased 10-fold to 630B tokens, while the 128K extension phase has been extended by 3.3x to 209B tokens. Additionally, DeepSeek-V3.1 is trained using the UE8M0 FP8 scale data format to ensure compatibility with microscaling data formats.",openai; tools; reasoning; json; can-disable-reasoning; structured-output,fp4,163840,tokens,$0.1300 cached/1M tokens; $0.2100 in/1M tokens; $0.7900 out/1M tokens,,
deepseek-ai/DeepSeek-V3.1-Terminus,deepseek-ai,text-generation,"DeepSeek-V3.1 Terminus is an update to DeepSeek V3.1 that maintains the model's original capabilities while addressing issues reported by users, including language consistency and agent capabilities, further optimizing the model's performance in coding and search agents. It is a large hybrid reasoning model (671B parameters, 37B active) that supports both thinking and non-thinking modes. It extends the DeepSeek-V3 base with a two-phase long-context training process. Users can control the reasoning behaviour with the reasoning enabled boolean. Learn more in our docs  The model improves tool use, code generation, and reasoning efficiency, achieving performance comparable to DeepSeek-R1 on difficult benchmarks while responding more quickly. It supports structured tool calling, code agents, and search agents, making it suitable for research, coding, and agentic workflows.",openai; tools; reasoning; json; can-disable-reasoning; structured-output,fp4,163840,tokens,$0.1300 cached/1M tokens; $0.2100 in/1M tokens; $0.7900 out/1M tokens,,
deepseek-ai/DeepSeek-V3.2-Exp,deepseek-ai,text-generation,DeepSeek-V3.2-Exp is an intermediate step toward the next-generation architecture of the DeepSeek models by introducing DeepSeek Sparse Attention—a sparse attention mechanism designed to explore and validate optimizations for training and inference efficiency in long-context scenarios.,openai; tools; reasoning; can-disable-reasoning; structured-output; json,fp4,163840,tokens,$0.1680 cached/1M tokens; $0.2100 in/1M tokens; $0.3200 out/1M tokens,Yes,deepseek-ai/DeepSeek-V3.2
deepseek-ai/Janus-Pro-1B,deepseek-ai,text-to-image,"Janus-Pro is a novel autoregressive framework that unifies multimodal understanding and generation. It addresses the limitations of previous approaches by decoupling visual encoding into separate pathways, while still utilizing a single, unified transformer architecture for processing. The decoupling not only alleviates the conflict between the visual encoder’s roles in understanding and generation, but also enhances the framework’s flexibility. Janus-Pro surpasses previous unified model and matches or exceeds the performance of task-specific models. The simplicity, high flexibility, and effectiveness of Janus-Pro make it a strong candidate for next-generation unified multimodal models.",,,,image_units,$0.000500/image unit,,
deepseek-ai/Janus-Pro-7B,deepseek-ai,text-to-image,"Janus-Pro is a novel autoregressive framework that unifies multimodal understanding and generation. It addresses the limitations of previous approaches by decoupling visual encoding into separate pathways, while still utilizing a single, unified transformer architecture for processing. The decoupling not only alleviates the conflict between the visual encoder’s roles in understanding and generation, but also enhances the framework’s flexibility. Janus-Pro surpasses previous unified model and matches or exceeds the performance of task-specific models. The simplicity, high flexibility, and effectiveness of Janus-Pro make it a strong candidate for next-generation unified multimodal models.",,,,image_units,$0.002000/image unit,,
google/codegemma-7b-it,google,text-generation,"CodeGemma is a collection of lightweight open code models built on top of Gemma. CodeGemma models are text-to-text and text-to-code decoder-only models and are available as a 7 billion pretrained variant that specializes in code completion and code generation tasks, a 7 billion parameter instruction-tuned variant for code chat and instruction following and a 2 billion parameter pretrained variant for fast code completion.",openai,fp16,8192,tokens,$0.0700 in/1M tokens; $0.0700 out/1M tokens,Yes,google/gemma-3-12b-it
google/embeddinggemma-300m,google,embeddings,"ChatGPT said:  EmbeddingGemma is a 300M parameter multilingual open embedding model from Google DeepMind, designed for efficient deployment even on low-resource devices, producing high-quality text vector representations for tasks such as search, classification, clustering, and semantic similarity.",,,2048,input_tokens,$0.0020/1M tokens,,
